budget;genres;imdb_id;original_title;overview;popularity;production_companies;production_countries;release_date;revenue;runtime;spoken_languages;vote_average;vote_count
30000000.0;Animation;tt0114709;Toy Story;Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.;21.946943;1.0;1.0;1995-10-30;373554033.0;81.0;1.0;7.7;5415.0
65000000.0;Adventure;tt0113497;Jumanji;When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.;17.015539;3.0;1.0;1995-12-15;262797249.0;104.0;2.0;6.9;2413.0
16000000.0;Comedy;tt0114885;Waiting to Exhale;"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.";3.859495;1.0;1.0;1995-12-22;81452156.0;127.0;1.0;6.1;34.0
60000000.0;Action;tt0113277;Heat;Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.;17.924927;3.0;1.0;1995-12-15;187436818.0;170.0;2.0;7.7;1886.0
35000000.0;Action;tt0114576;Sudden Death;International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...;5.23158;3.0;1.0;1995-12-22;64350171.0;106.0;1.0;5.5;174.0
58000000.0;Adventure;tt0113189;GoldenEye;James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.;14.686036;2.0;2.0;1995-11-16;352194034.0;130.0;3.0;6.6;1194.0
62000000.0;Comedy;tt0112346;The American President;Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.;6.318445;2.0;1.0;1995-11-17;107879496.0;106.0;1.0;6.5;199.0
44000000.0;History;tt0113987;Nixon;An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.;5.092;2.0;;1995-12-22;13681765.0;192.0;1.0;7.1;72.0
98000000.0;Action;tt0112760;Cutthroat Island;Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.;7.284477;4.0;4.0;1995-12-22;10017322.0;119.0;2.0;5.7;137.0
52000000.0;Drama;tt0112641;Casino;The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.;10.137389;4.0;2.0;1995-11-22;116112375.0;178.0;1.0;7.8;1343.0
16500000.0;Drama;tt0114388;Sense and Sensibility;Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.;10.673167;2.0;2.0;1995-12-13;135000000.0;136.0;1.0;7.2;364.0
4000000.0;Crime;tt0113101;Four Rooms;It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.;9.026586;2.0;1.0;1995-12-09;4300000.0;98.0;1.0;6.5;539.0
30000000.0;Crime;tt0112281;Ace Ventura: When Nature Calls;Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.;8.205448;3.0;1.0;1995-11-10;212385533.0;90.0;1.0;6.1;1128.0
60000000.0;Action;tt0113845;Money Train;"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.";7.337906;1.0;1.0;1995-11-21;35431113.0;103.0;1.0;5.4;224.0
30250000.0;Comedy;tt0113161;Get Shorty;"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.";12.669608;2.0;1.0;1995-10-20;115101622.0;105.0;1.0;6.4;305.0
