Grasas_sat,Alcohol,Calorías,Sexo
14.60,0.03,910,F
11.82,0.05,1026,F
16.98,0.14,1033,F
14.04,0.38,1098,F
15.30,0.38,1122,F
17.26,0.39,1149,F
16.00,0.40,1162,F
20.39,0.51,1221,F
23.45,0.57,1233,F
21.35,0.60,1253,F
14.68,0.60,1255,F
23.66,0.63,1280,F
20.72,0.77,1286,F
24.51,0.78,1293,F
19.79,0.79,1299,F
18.94,0.80,1302,F
18.83,0.83,1325,F
19.73,0.00,1369,F
22.32,0.85,1376,F
16.61,0.90,1388,F
17.73,0.95,1388,F
36.31,999.99,1000,F
38.68,0.96,1200,F
33.26,1.14,900,F
41.01,999.99,800,F
14.38,1.27,923,M
12.71,1.39,940,M
18.00,1.43,963,M
17.64,1.58,1106,M
21.41,1.76,1200,M
16.04,0.00,1183,M
14.42,1.76,1216,M
18.57,1.84,1226,M
15.94,1.89,1311,M
21.39,1.89,1320,M
19.03,1.99,1321,M
17.74,2.17,1330,M
20.71,2.18,1332,M
18.63,2.20,1340,M
21.98,2.22,1362,M
25.69,2.25,1363,M
23.34,0.00,1371,M
20.74,0.00,1374,M
23.59,2.26,1400,F
24.38,2.56,1402,F
24.62,2.62,1402,F
21.57,2.69,1426,F
18.12,2.79,1428,F
21.56,2.93,1438,F
25.11,2.98,1445,F
24.09,3.00,1454,F
27.99,3.11,1456,F
20.20,3.35,1467,F
26.26,3.44,1484,F
17.48,3.45,1485,F
21.58,3.70,1491,F
21.04,0.00,1501,F
21.79,3.77,1502,F
19.81,3.82,1518,F
21.34,4.17,1524,F
25.47,0.00,1548,F
16.73,0.00,1555,F
15.99,4.21,1561,F
20.07,4.40,1568,F
26.98,4.49,1583,F
23.98,4.57,1585,F
30.98,4.60,1588,F
22.16,4.60,1591,F
21.76,4.67,1593,F
23.49,4.75,1606,F
18.64,4.75,1608,F
18.75,4.88,1612,F
20.46,5.04,1619,F
20.39,5.17,1634,F
34.34,5.20,1639,F
28.72,0.00,1641,F
15.39,5.23,1649,F
22.51,5.37,1649,F
21.90,5.39,1661,F
26.40,5.84,1670,F
32.86,0.00,1682,F
25.97,5.97,1683,F
26.83,5.97,1689,F
23.17,6.60,1700,F
26.24,6.68,1500,F
35.36,6.77,1450,F
18.59,6.92,1700,M
17.73,6.97,1418,M
20.06,6.99,1433,M
22.02,7.12,1440,M
18.79,7.18,1450,M
23.48,7.28,1450,M
23.65,7.31,1457,M
24.78,0.00,1470,M
26.76,7.75,1472,M
15.18,7.79,1481,M
29.57,7.82,1490,M
17.92,7.85,1514,M
24.61,8.09,1529,M
18.33,8.10,1533,M
25.28,8.15,1535,M
23.43,8.18,1555,M
16.93,8.22,1557,M
21.95,8.26,1560,M
24.83,8.31,1562,M
23.42,8.49,1582,M
24.10,8.65,1587,M
20.87,0.00,1609,M
29.59,8.75,1612,M
25.25,9.43,1616,M
16.74,9.49,1620,M
23.62,9.69,1626,M
29.17,0.00,1636,M
24.37,9.92,1669,M
26.48,10.04,1679,M
30.01,10.12,1680,M
26.46,10.35,1685,M
29.60,10.41,1691,M
28.04,10.86,1699,M
25.62,0.00,1702,F
26.40,11.13,1704,F
29.06,11.15,1707,F
25.85,11.16,1721,F
27.83,12.03,1731,F
28.65,12.18,1742,F
24.16,12.48,1757,F
31.35,12.95,1767,F
22.61,12.97,1769,F
28.33,13.11,1769,F
30.92,13.62,1779,F
33.20,13.79,1807,F
26.25,13.91,1815,F
27.39,14.23,1820,F
28.02,15.12,1827,F
23.79,15.41,1870,F
28.34,15.60,1878,F
28.26,15.69,1884,F
34.04,0.00,1885,F
38.73,15.72,1889,F
28.63,16.51,1947,F
33.25,16.61,1968,F
34.25,17.22,1973,F
36.19,17.27,1976,F
31.41,17.76,1989,F
27.74,17.90,1994,F
31.35,18.69,2013,F
26.58,19.38,1718,M
22.42,20.13,1731,M
27.51,20.50,1732,M
25.17,20.69,1761,M
27.59,21.78,1761,M
32.19,22.31,1781,M
25.10,0.00,1788,M
32.03,22.44,1810,M
27.15,22.66,1823,M
23.56,22.89,1936,M
26.40,23.44,1940,M
36.44,23.97,2010,M
27.92,25.74,2029,M
27.50,27.26,2038,M
31.20,27.55,2050,M
34.16,27.86,2051,M
27.08,999.99,2054,M
39.43,28.28,2085,M
34.61,28.29,2087,M
29.35,28.79,2096,M
26.46,29.81,2143,M
45.31,31.26,2260,M
46.36,32.64,2285,M
39.30,32.72,2300,M
34.14,37.28,2333,M
999.99,37.90,2334,M
40.59,40.11,2376,M
